Start Time,Number of Trips
2021-10-07,115335
2021-10-08,115808
2021-10-09,108091
2021-10-10,69386
2021-10-11,97257
2021-10-12,108314
2021-10-13,109850
2021-10-14,116278
2021-10-15,118471
2021-10-16,99243
2021-10-17,90860
2021-10-18,87314
2021-10-19,100118
2021-10-20,112026
2021-10-21,113734
2021-10-22,111571
2021-10-23,91369
2021-10-24,85039
2021-10-25,92446
2021-10-26,48015
2021-10-27,97986
2021-10-28,100689
2021-10-29,82622
2021-10-30,79170
2021-10-31,85726
2021-11-01,89655
2021-11-02,82811
2021-11-03,87259
2021-11-04,85758
2021-11-05,86279
2021-11-06,84659
2021-11-07,79380
2021-11-08,84958
2021-11-09,96712
2021-11-10,98195
2021-11-11,92925
2021-11-12,69975
2021-11-13,71475
2021-11-14,63193
2021-11-15,68372
2021-11-16,77280
2021-11-17,85554
2021-11-18,94672
2021-11-19,74090
2021-11-20,69554
2021-11-21,65383
2021-11-22,63652
2021-11-23,61201
2021-11-24,57450
2021-11-25,35034
2021-11-26,31985
2021-11-27,37424
2021-11-28,41660
2021-11-29,58569
2021-11-30,64170
2021-12-01,74033
2021-12-02,79362
2021-12-03,72585
2021-12-04,68161
2021-12-05,62509
2021-12-06,67735
2021-12-07,67189
2021-12-08,65876
2021-12-09,66553
2021-12-10,75593
2021-12-11,64261
2021-12-12,62109
2021-12-13,68299
2021-12-14,75703
2021-12-15,73103
2021-12-16,80607
2021-12-17,78035
2021-12-18,39513
2021-12-19,40310
2021-12-20,45540
2021-12-21,50951
2021-12-22,41926
2021-12-23,41284
2021-12-24,31319
2021-12-25,16406
2021-12-26,31737
2021-12-27,31583
2021-12-28,40728
2021-12-29,39656
2021-12-30,46925
2021-12-31,48696
